9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
0	1	0.000000
0	2	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
2	0	0.000000
2	1	0.000000
2	2	0.000000
9

0	0	0.000000
